A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000000, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000000, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000000, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000000, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000000, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000000, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000000, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000000, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000000, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000000, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000000, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000000, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000001, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000001, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000001, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000001, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000001, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000001, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000001, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000001, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000001, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000001, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000001, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000001, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000002, Honolulu County, Hawaii","Total, number of workers in household",Estimate,645
"TAZ 00000002, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,69
"TAZ 00000002, Honolulu County, Hawaii",0 workers,Estimate,110
"TAZ 00000002, Honolulu County, Hawaii",0 workers,Margin of Error,51
"TAZ 00000002, Honolulu County, Hawaii",1 worker,Estimate,215
"TAZ 00000002, Honolulu County, Hawaii",1 worker,Margin of Error,73
"TAZ 00000002, Honolulu County, Hawaii",2 workers,Estimate,260
"TAZ 00000002, Honolulu County, Hawaii",2 workers,Margin of Error,65
"TAZ 00000002, Honolulu County, Hawaii",3 workers,Estimate,30
"TAZ 00000002, Honolulu County, Hawaii",3 workers,Margin of Error,26
"TAZ 00000002, Honolulu County, Hawaii",4-or-more workers,Estimate,35
"TAZ 00000002, Honolulu County, Hawaii",4-or-more workers,Margin of Error,22
"TAZ 00000003, Honolulu County, Hawaii","Total, number of workers in household",Estimate,200
"TAZ 00000003, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,34
"TAZ 00000003, Honolulu County, Hawaii",0 workers,Estimate,45
"TAZ 00000003, Honolulu County, Hawaii",0 workers,Margin of Error,28
"TAZ 00000003, Honolulu County, Hawaii",1 worker,Estimate,70
"TAZ 00000003, Honolulu County, Hawaii",1 worker,Margin of Error,32
"TAZ 00000003, Honolulu County, Hawaii",2 workers,Estimate,80
"TAZ 00000003, Honolulu County, Hawaii",2 workers,Margin of Error,38
"TAZ 00000003, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000003, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000003, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000003, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000004, Honolulu County, Hawaii","Total, number of workers in household",Estimate,400
"TAZ 00000004, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,50
"TAZ 00000004, Honolulu County, Hawaii",0 workers,Estimate,65
"TAZ 00000004, Honolulu County, Hawaii",0 workers,Margin of Error,35
"TAZ 00000004, Honolulu County, Hawaii",1 worker,Estimate,85
"TAZ 00000004, Honolulu County, Hawaii",1 worker,Margin of Error,34
"TAZ 00000004, Honolulu County, Hawaii",2 workers,Estimate,155
"TAZ 00000004, Honolulu County, Hawaii",2 workers,Margin of Error,48
"TAZ 00000004, Honolulu County, Hawaii",3 workers,Estimate,85
"TAZ 00000004, Honolulu County, Hawaii",3 workers,Margin of Error,37
"TAZ 00000004, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000004, Honolulu County, Hawaii",4-or-more workers,Margin of Error,14
"TAZ 00000005, Honolulu County, Hawaii","Total, number of workers in household",Estimate,215
"TAZ 00000005, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,60
"TAZ 00000005, Honolulu County, Hawaii",0 workers,Estimate,20
"TAZ 00000005, Honolulu County, Hawaii",0 workers,Margin of Error,20
"TAZ 00000005, Honolulu County, Hawaii",1 worker,Estimate,45
"TAZ 00000005, Honolulu County, Hawaii",1 worker,Margin of Error,32
"TAZ 00000005, Honolulu County, Hawaii",2 workers,Estimate,115
"TAZ 00000005, Honolulu County, Hawaii",2 workers,Margin of Error,62
