GEOID,gq_pop,hh_child,hh_pop,hh_senior,hh_tot,inc_med,inc10,inc100,inc125,inc15,inc150,inc20,inc200,inc200p,inc25,inc30,inc35,inc40,inc45,inc50,inc60,inc75,veh_tot,veh0,veh1,veh2,veh3,veh4,veh5
150030001061,5,195,1697,771,824,71250,0,67,174,72,43,27,32,89,29,37,15,89,0,28,26,96,736,361,247,171,33,12,0
150030001062,0,716,3019,643,1185,104205,57,250,202,0,44,14,242,206,13,14,22,0,0,26,36,59,2284,42,316,544,252,31,0
150030001063,0,300,1650,266,591,149247,12,45,64,0,123,0,144,128,0,0,0,0,0,0,31,44,1126,0,178,322,60,31,0
150030001064,0,270,1626,319,545,122448,0,39,35,0,93,0,60,119,13,44,0,0,15,14,28,85,1571,0,94,197,43,126,85
150030001071,0,398,1309,186,408,105833,10,109,59,0,38,0,50,66,5,0,0,0,14,0,11,46,926,5,79,183,98,33,10
150030001072,0,154,792,274,250,141471,5,31,11,0,17,7,51,67,0,5,0,12,5,15,9,15,572,0,32,139,60,13,6
150030001073,0,95,577,132,190,184868,0,2,17,0,13,5,49,77,5,0,0,6,0,0,5,11,435,5,16,128,17,8,16
150030001081,0,349,1904,419,814,101351,21,47,165,0,51,47,88,123,9,33,23,17,7,17,87,79,1530,42,179,428,165,0,0
150030001082,0,105,1047,227,396,141622,0,31,53,0,65,9,62,116,0,23,18,0,0,0,0,19,841,0,58,255,59,24,0
150030001101,0,332,1094,210,312,162000,0,23,36,0,7,12,89,82,19,8,0,0,0,0,10,26,795,0,30,153,93,0,36
150030001102,0,201,1170,370,463,145341,28,17,33,7,63,6,68,154,9,10,8,9,0,10,23,18,927,13,85,263,92,10,0
150030001103,15,383,1905,359,612,112639,0,104,55,0,54,0,91,116,15,7,9,0,9,11,68,73,1315,0,105,372,100,22,13
150030001111,6,393,1889,419,593,141036,7,71,65,15,99,0,98,148,0,0,6,0,11,10,28,35,1487,0,50,262,222,48,11
150030001112,0,533,2242,530,692,101270,38,75,132,8,62,0,102,81,7,0,52,16,42,15,47,15,1531,29,145,314,110,68,26
150030001113,14,99,454,109,128,213250,0,14,18,0,17,0,0,70,0,0,0,0,0,9,0,0,266,12,16,59,32,9,0
150030001121,0,170,1077,323,323,140391,0,12,13,0,120,0,64,56,0,0,15,13,21,0,9,0,830,0,45,132,63,83,0
150030001122,0,584,2499,603,1033,116250,30,171,135,23,105,17,156,207,19,0,0,17,0,0,31,122,1814,19,376,530,90,0,18
150030001123,26,300,1796,516,573,126161,10,37,69,0,84,12,131,78,12,50,0,12,26,15,20,17,1147,12,147,272,112,30,0
150030001141,0,379,1562,419,474,175833,13,44,54,0,43,0,47,220,4,14,2,3,5,0,8,17,1039,15,100,194,109,56,0
150030002001,12,171,790,119,254,145156,0,7,31,0,23,0,74,38,0,0,9,0,9,13,42,8,500,7,68,119,53,0,7
150030002002,0,157,660,147,215,153583,0,28,21,0,8,0,69,64,0,0,9,0,0,0,0,16,502,0,43,104,31,27,10
150030002003,0,103,878,296,299,95625,0,65,41,11,45,0,7,52,10,9,23,11,0,0,14,11,650,0,63,121,115,0,0
150030002004,33,384,1724,372,493,137969,5,55,72,0,31,0,60,164,0,10,9,16,17,8,8,38,1156,10,75,220,126,47,15
150030002005,45,243,1222,215,425,118938,0,29,142,21,59,0,38,81,0,0,9,0,7,16,23,0,844,11,109,203,83,15,4
150030003011,5,260,1100,234,359,119464,30,18,50,8,11,0,102,48,9,0,0,10,0,18,27,28,730,19,51,206,65,18,0
150030003012,0,256,2058,437,692,158750,31,60,78,0,66,10,70,292,0,10,9,10,0,9,29,18,1586,25,127,284,157,75,24
150030003021,0,123,1091,316,343,118125,0,84,48,0,79,0,51,20,0,0,0,0,9,0,20,32,840,13,56,116,114,20,24
150030003022,0,188,551,101,157,176719,0,0,14,1,2,0,36,76,0,0,18,0,0,0,10,0,395,1,18,55,65,18,0
150030003023,28,257,1250,413,400,138654,0,61,11,0,34,12,72,111,7,0,29,12,0,32,12,7,797,22,109,143,102,24,0
150030004011,74,433,2367,831,945,130188,17,98,50,22,71,41,158,272,17,8,35,14,0,17,50,75,1942,35,243,407,169,77,14
150030004021,0,350,2016,449,640,162000,5,17,58,24,67,7,162,247,0,0,6,0,0,19,9,19,1615,0,74,293,199,20,54
150030004022,0,333,1671,474,625,154028,0,72,51,0,31,0,119,218,40,0,15,0,7,27,30,15,1337,0,137,321,130,17,20
150030005001,0,130,755,178,248,133571,13,51,21,0,18,0,67,45,0,12,0,0,11,0,10,0,518,0,57,155,17,5,14
150030005002,0,19,331,194,174,NA,11,12,10,0,28,0,20,11,10,11,50,0,0,0,0,11,317,0,83,72,8,0,11
150030005003,0,132,1151,367,363,123661,38,10,39,0,23,12,30,121,0,12,39,0,0,0,12,27,835,12,60,163,88,15,25
150030005004,0,159,820,157,299,134458,9,44,10,0,47,8,75,68,8,0,30,0,0,0,0,0,671,0,65,139,63,21,11
150030005005,0,114,553,127,214,NA,10,9,19,0,12,41,16,89,11,0,0,0,0,0,0,7,465,0,39,120,48,0,7
150030006001,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150030006002,0,212,1319,327,486,132857,18,57,59,0,47,0,40,181,31,0,18,5,0,0,10,20,1107,24,50,208,175,29,0
150030007001,24,314,1573,425,482,105909,12,61,45,21,62,20,73,65,9,0,13,18,0,18,30,35,1074,31,114,167,102,20,48
150030007002,45,159,955,168,325,107802,0,21,71,0,21,47,29,45,13,9,10,0,6,10,16,27,645,20,115,87,56,47,0
150030007003,0,60,574,152,204,93214,0,35,18,0,38,10,20,16,0,0,0,16,8,0,21,22,451,12,63,66,9,41,13
150030008001,12,188,1138,221,394,82105,8,68,63,7,25,22,10,63,13,10,26,32,11,0,15,21,678,41,133,143,58,10,9
150030008002,0,86,1012,324,361,92179,0,66,58,25,6,13,50,39,0,0,11,9,13,0,32,39,714,0,147,127,55,12,20
150030008003,0,109,862,197,319,79125,0,30,48,9,10,0,35,43,0,0,10,25,23,0,46,40,607,0,117,150,31,8,13
150030008004,122,56,271,46,85,119598,0,11,35,0,18,0,0,13,0,0,0,8,0,0,0,0,215,0,0,70,0,0,15
150030009011,0,237,1144,308,445,101458,8,35,62,10,17,0,99,55,20,5,0,0,0,34,67,33,865,8,180,150,51,48,8
150030009012,0,169,1487,618,772,70982,46,166,39,39,25,0,69,65,17,31,19,18,62,0,60,116,868,174,369,188,41,0,0
150030009021,24,532,3026,851,1045,123893,37,78,112,14,135,0,149,223,6,12,0,22,49,31,107,70,2158,49,224,543,139,46,44
150030009022,86,181,1035,203,328,136042,0,62,42,0,60,0,41,84,0,0,0,7,8,0,13,11,705,18,64,158,27,61,0
150030009031,0,262,1596,403,497,91115,35,85,25,0,19,26,45,139,15,8,7,7,0,16,10,60,1068,14,147,207,53,54,22
150030009032,0,163,1427,271,511,86294,0,162,53,0,16,0,39,62,36,0,9,15,6,11,44,58,1092,16,154,178,88,66,9
150030010001,136,155,1260,331,451,74539,74,36,90,2,25,20,51,20,12,10,9,11,11,7,19,54,827,48,159,128,52,64,0
150030010002,0,276,2047,427,595,94432,11,97,35,0,45,13,103,105,27,30,20,21,0,29,26,33,1380,32,122,265,59,38,79
150030011001,0,363,1560,239,503,38295,69,22,35,14,44,38,40,9,80,11,11,36,22,0,10,62,708,104,142,205,52,0,0
150030011002,8,287,1847,422,621,51490,0,33,21,52,65,20,28,18,6,21,35,92,21,48,73,88,971,143,198,120,123,29,8
150030012011,0,114,1305,229,502,77500,30,87,70,34,9,0,58,42,53,26,9,39,0,0,36,9,929,36,195,122,106,43,0
150030012012,0,362,1922,426,560,93125,0,62,65,7,31,0,78,73,9,0,7,35,31,11,66,85,1142,40,182,183,61,64,30
150030012021,21,312,1717,370,555,77875,0,84,40,0,75,19,44,53,10,7,61,39,26,49,24,24,1025,16,216,210,63,50,0
150030012022,11,98,1056,254,386,66591,30,13,67,0,33,9,46,9,25,25,0,30,8,35,0,56,689,36,166,86,48,43,7
150030013001,0,195,1321,237,494,50833,18,23,34,7,68,9,31,42,10,34,50,19,33,47,60,9,822,24,187,241,23,11,8
150030013002,86,169,1215,249,371,103125,0,23,70,9,27,14,78,16,12,0,14,7,10,7,42,42,774,17,93,134,95,32,0
150030013003,0,66,879,240,312,76875,0,65,18,0,24,0,38,29,14,10,0,8,10,51,37,8,548,41,146,46,26,43,10
150030013004,46,115,1009,202,362,60469,18,18,17,15,32,7,32,35,52,9,25,26,5,7,14,50,490,76,152,81,36,17,0
150030014001,0,294,1474,290,462,101000,5,57,69,10,46,9,77,41,8,0,44,10,5,7,19,55,941,16,141,178,81,32,14
