inc_ratio,incL,incML,incMH,incH
0.22,0.5654,0.3064,0.0857,0.0425
0.23,0.54990000000000006,0.3171,0.0909,0.0421
0.24,0.5346,0.3274,0.0961,0.0419
0.25,0.5197,0.3372,0.1014,0.0417
0.26,0.5052,0.3466,0.1066,0.0416
0.27,0.4912,0.3555,0.1118,0.0415
0.28,0.4773,0.364,0.1171,0.0416
0.29,0.4639,0.3721,0.1223,0.0417
0.3,0.4509,0.3798,0.1275,0.0418
0.31,0.4382,0.3871,0.1327,0.042
0.32,0.4258,0.394,0.1379,0.0423
0.33,0.4138,0.4005,0.143,0.0427
0.34,0.4021,0.4066,0.1482,0.0431
0.35,0.3907,0.4124,0.1533,0.0436
0.36,0.3796,0.4178,0.1584,0.0442
0.37,0.3688,0.4229,0.1635,0.0448
0.38,0.3584,0.4275,0.1686,0.0455
0.39,0.3482,0.4319,0.1736,0.0463
0.4,0.3383,0.436,0.1786,0.0471
0.41,0.3287,0.4397,0.1836,0.048
0.42,0.3194,0.4431,0.1886,0.0489
0.43,0.3104,0.4462,0.1935,0.0499
0.44,0.3016,0.449,0.1984,0.051
0.45,0.2931,0.4515,0.2032,0.0522
0.46,0.2849,0.4537,0.208,0.0534
0.47,0.2769,0.4556,0.2128,0.0547
0.48,0.2691,0.4573,0.2176,0.056
0.49,0.2616,0.4587,0.2223,0.0574
0.5,0.2543,0.4599,0.2269,0.0589
0.51,0.2473,0.4608,0.2315,0.0604
0.52,0.2404,0.4615,0.2361,0.062
0.53,0.2338,0.4619,0.2406,0.0637
0.54,0.2275,0.462,0.2451,0.0654
0.55,0.2213,0.462,0.2495,0.0672
0.56,0.2153,0.4618,0.2539,0.069
0.57,0.2095,0.4614,0.2582,0.0709
0.58,0.204,0.4606,0.2625,0.0729
0.59,0.1986,0.4598,0.2667,0.0749
0.6,0.1934,0.4587,0.2709,0.077
0.61,0.1884,0.4575,0.275,0.0791
0.62,0.1835,0.4561,0.2791,0.0813
0.63,0.1789,0.4544,0.2831,0.0836
0.64,0.1744,0.4527,0.287,0.0859
0.65,0.17,0.4509,0.2909,0.0882
0.66,0.1659,0.4487,0.2947,0.0907
0.67,0.1618,0.4466,0.2985,0.0931
0.68,0.158,0.4441,0.3022,0.0957
0.69,0.1542,0.4417,0.3058,0.0983
0.7,0.1507,0.439,0.3094,0.1009
0.71,0.1472,0.4363,0.3129,0.1036
0.72,0.1439,0.4333,0.3164,0.1064
0.73,0.1407,0.4304,0.3197,0.1092
0.74,0.1377,0.4271,0.3231,0.1121
0.75,0.1347,0.424,0.3263,0.115
0.76,0.1319,0.4206,0.3295,0.118
0.77,0.1292,0.4172,0.3326,0.121
0.78,0.1266,0.4138,0.3356,0.124
0.79,0.1242,0.41,0.3386,0.1272
0.8,0.1218,0.4064,0.3415,0.1303
0.81,0.1195,0.4026,0.3443,0.1336
0.82,0.1173,0.3988,0.3471,0.1368
0.83,0.1152,0.3949,0.3498,0.1401
0.84,0.1132,0.3909,0.3524,0.1435
0.85,0.1113,0.3869,0.3549,0.1469
0.86,0.1095,0.3827,0.3574,0.1504
0.87,0.1077,0.3786,0.3598,0.1539
0.88,0.1061,0.3744,0.3621,0.1574
0.89,0.1045,0.3702,0.3643,0.161
0.9,0.1029,0.366,0.3665,0.1646
0.91,0.1015,0.3617,0.3685,0.1683
0.92,0.1001,0.3574,0.3705,0.172
0.93,0.0987,0.353,0.3725,0.1758
0.94,0.0975,0.3486,0.3743,0.1796
0.95,0.0962,0.3442,0.3762,0.1834
0.96,0.0951,0.3398,0.3778,0.1873
0.97,0.0939,0.3354,0.3795,0.1912
0.98,0.0929,0.331,0.381,0.1951
0.99,0.0918,0.3265,0.3826,0.1991
1,0.0909,0.3221,0.3839,0.2031
1.01,0.0899,0.3176,0.3853,0.2072
1.02,0.089,0.3132,0.3865,0.2113
1.03,0.0881,0.3088,0.3877,0.2154
1.04,0.0873,0.3044,0.3887,0.2196
1.05,0.0865,0.3,0.3897,0.2238
1.06,0.0857,0.2956,0.3907,0.228
1.07,0.085,0.2912,0.3916,0.2322
1.08,0.0842,0.2869,0.3924,0.2365
1.09,0.0835,0.2826,0.3931,0.2408
1.1,0.0829,0.2783,0.3936,0.2452
1.11,0.0822,0.2741,0.3942,0.2495
1.12,0.0815,0.2698,0.3948,0.2539
1.13,0.0809,0.2657,0.3951,0.2583
1.14,0.0803,0.2615,0.3954,0.2628
1.15,0.0797,0.2574,0.3956,0.2673
1.16,0.0791,0.2534,0.3958,0.2717
1.17,0.0785,0.2493,0.3959,0.2763
1.18,0.0779,0.2454,0.3959,0.2808
1.19,0.0773,0.2415,0.3959,0.2853
1.2,0.0767,0.2376,0.3958,0.2899
1.21,0.0761,0.2338,0.3956,0.2945
1.22,0.0756,0.23,0.3953,0.2991
1.23,0.075,0.2263,0.395,0.3037
