avg_size,siz1,siz2,siz3,siz4
1,0.9353,0.0647,0,0
1.01,0.9306,0.0694,0,0
1.02,0.9259,0.0741,0,0
1.03,0.9213,0.0787,0,0
1.04,0.9167,0.0833,0,0
1.05,0.9122,0.0878,0,0
1.06,0.9077,0.0923,0,0
1.07,0.9032,0.0968,0,0
1.08,0.8988,0.1012,0,0
1.09,0.8944,0.1056,0,0
1.1,0.8901,0.1099,0,0
1.11,0.8858,0.1142,0,0
1.12,0.8798,0.1184,0.0018,0
1.13,0.8735,0.1226,0.0039,0
1.14,0.8673,0.1267,0.006,0
1.15,0.8612,0.1308,0.008,0
1.16,0.855,0.1349,0.0101,0
1.17,0.849,0.1389,0.0121,0
1.18,0.843,0.1429,0.0141,0
1.19,0.8371,0.1468,0.0161,0
1.2,0.8311,0.1507,0.0181,1e-4
1.21,0.8243,0.1545,0.0201,0.0011
1.22,0.8175,0.1583,0.0221,0.0021
1.23,0.8108,0.1621,0.024,0.0031
1.24,0.804,0.1658,0.026,0.0042
1.25,0.7974,0.1694,0.0279,0.0053
1.26,0.7908,0.1731,0.0298,0.0063
1.27,0.7842,0.1767,0.0317,0.0074
1.28,0.7777,0.1802,0.0336,0.0085
1.29,0.7712,0.1837,0.0355,0.0096
1.3,0.7647,0.1872,0.0373,0.0108
1.31,0.7583,0.1906,0.0392,0.0119
1.32,0.7519,0.194,0.041,0.0131
1.33,0.7457,0.1973,0.0428,0.0142
1.34,0.7393,0.2006,0.0447,0.0154
1.35,0.7331,0.2039,0.0464,0.0166
1.36,0.7269,0.2071,0.0482,0.0178
1.37,0.7207,0.2103,0.05,0.019
1.38,0.7146,0.2134,0.0518,0.0202
1.39,0.7086,0.2165,0.0535,0.0214
1.4,0.7025,0.2196,0.0552,0.0227
1.41,0.6966,0.2226,0.0569,0.0239
1.42,0.6906,0.2256,0.0586,0.0252
1.43,0.6846,0.2286,0.0603,0.0265
1.44,0.6787,0.2315,0.062,0.0278
1.45,0.6728,0.2344,0.0637,0.0291
1.46,0.6671,0.2372,0.0653,0.0304
1.47,0.6613,0.24,0.067,0.0317
1.48,0.6557,0.2427,0.0686,0.033
1.49,0.6499,0.2455,0.0702,0.0344
1.5,0.6444,0.2481,0.0718,0.0357
1.51,0.6387,0.2508,0.0734,0.0371
1.52,0.6331,0.2534,0.075,0.0385
1.53,0.6276,0.2559,0.0766,0.0399
1.54,0.6221,0.2585,0.0781,0.0413
1.55,0.6166,0.261,0.0797,0.0427
1.56,0.6113,0.2634,0.0812,0.0441
1.57,0.6059,0.2659,0.0827,0.0455
1.58,0.6007,0.2682,0.0842,0.0469
1.59,0.5953,0.2706,0.0857,0.0484
1.6,0.5901,0.2729,0.0872,0.0498
1.61,0.5849,0.2752,0.0886,0.0513
1.62,0.5797,0.2774,0.0901,0.0528
1.63,0.5746,0.2796,0.0915,0.0543
1.64,0.5694,0.2818,0.093,0.0558
1.65,0.5643,0.284,0.0944,0.0573
1.66,0.5593,0.2861,0.0958,0.0588
1.67,0.5544,0.2881,0.0972,0.0603
1.68,0.5493,0.2902,0.0986,0.0619
1.69,0.5444,0.2922,0.1,0.0634
1.7,0.5396,0.2941,0.1013,0.065
1.71,0.5347,0.2961,0.1027,0.0665
1.72,0.5299,0.298,0.104,0.0681
1.73,0.5252,0.2998,0.1053,0.0697
1.74,0.5205,0.3016,0.1066,0.0713
1.75,0.5158,0.3034,0.1079,0.0729
1.76,0.5111,0.3052,0.1092,0.0745
1.77,0.5065,0.3069,0.1105,0.0761
1.78,0.5019,0.3086,0.1118,0.0777
1.79,0.4973,0.3103,0.113,0.0794
1.8,0.4928,0.3119,0.1143,0.081
1.81,0.4883,0.3135,0.1155,0.0827
1.82,0.4839,0.3151,0.1167,0.0843
1.83,0.4794,0.3167,0.1179,0.086
1.84,0.475,0.3182,0.1191,0.0877
1.85,0.4708,0.3196,0.1203,0.0893
1.86,0.4664,0.3211,0.1215,0.091
1.87,0.4621,0.3225,0.1227,0.0927
1.88,0.4579,0.3239,0.1238,0.0944
1.89,0.4536,0.3252,0.125,0.0962
1.9,0.4495,0.3265,0.1261,0.0979
1.91,0.4454,0.3278,0.1272,0.0996
1.92,0.4412,0.3291,0.1283,0.1014
1.93,0.4372,0.3303,0.1294,0.1031
1.94,0.4331,0.3315,0.1305,0.1049
1.95,0.4291,0.3327,0.1316,0.1066
1.96,0.4251,0.3338,0.1327,0.1084
1.97,0.4212,0.3349,0.1337,0.1102
1.98,0.4172,0.336,0.1348,0.112
1.99,0.4133,0.3371,0.1358,0.1138
2,0.4095,0.3381,0.1368,0.1156
2.01,0.4057,0.3391,0.1378,0.1174
2.02,0.4018,0.3401,0.1389,0.1192
2.03,0.3982,0.341,0.1398,0.121
2.04,0.3945,0.3419,0.1408,0.1228
2.05,0.3907,0.3428,0.1418,0.1247
2.06,0.3871,0.3436,0.1428,0.1265
2.07,0.3834,0.3445,0.1437,0.1284
2.08,0.3798,0.3453,0.1447,0.1302
2.09,0.3763,0.346,0.1456,0.1321
2.1,0.3728,0.3468,0.1465,0.1339
2.11,0.3693,0.3475,0.1474,0.1358
