Field,CV,SUT,MUT,CVa,SUTa,MUTa,Description
Emp_Agriculture,0.361,0.035,0.0723,0.361,0.035,0.0723,The attraction rates are the same as production rates
Emp_Manufacturing,0.1998,0.0244,0.0539,0.1998,0.0244,0.0539,
Emp_Wholesale,0.1998,0.0244,0.0539,0.1998,0.0244,0.0539,
Emp_Retail,0.2137,0.0235,0.0336,0.2137,0.0235,0.0336,
Emp_TransportConstruction,0.361,0.035,0.0723,0.361,0.035,0.0723,
Emp_FinanceRealEstate,0.361,0.035,0.0723,0.361,0.035,0.0723,
Emp_Education,0.1975,0.018,0.046,0.1975,0.018,0.046,
Emp_HealthCare,0.1975,0.018,0.046,0.1975,0.018,0.046,
Emp_Services,0.1975,0.018,0.046,0.1975,0.018,0.046,
Emp_Public,0.361,0.035,0.0723,0.361,0.035,0.0723,
Emp_Hotel,0.361,0.035,0.0723,0.361,0.035,0.0723,
Emp_Military,0.361,0.035,0.0723,0.361,0.035,0.0723,
OccupiedHH,0.218,0.086,0,0.218,0.086,0,
