TAZ,Agriculture,FIRE,Hotel,TransportConstruction,Services,Healthcare,Retail,Wholesale,Education,Manufacturing,Military,Public
1,7,3,35,0,0,0,0,0,0,0,0,0
3,0,0,0,9,0,0,0,0,0,0,0,0
4,0,0,5,0,0,0,0,0,0,0,0,0
5,0,0,0,2,0,0,0,0,0,0,0,0
7,0,1,0,1,4,0,0,0,0,0,0,0
8,0,3,0,2,0,2,0,0,0,0,0,0
9,0,0,0,0,8,0,0,0,0,0,0,0
11,0,5,0,1,30,4,113,0,0,0,0,0
12,0,2,0,1,4,0,0,0,0,0,0,0
13,0,19,0,17,64,3,5,1,0,0,0,0
15,0,50,0,38,91,137,180,8,5,0,0,0
16,0,12,0,55,235,0,12,1,3,9,0,0
17,0,3,0,0,35,4,14,0,0,0,0,0
18,0,8,0,6,234,29,47,0,1,0,0,0
19,0,109,0,79,287,144,85,15,53,70,500,191
20,0,0,0,0,1,1,0,0,90,0,0,10
21,2,27,0,13,161,26,143,9,15,0,0,0
22,0,0,0,66,73,0,4,0,1,2,0,18
23,0,15,0,58,36,34,2,0,11,0,0,35
24,0,3,0,3,0,4,0,0,0,0,0,0
25,3,26,0,7,117,3,4,15,36,1,0,37
26,0,0,0,0,41,159,5,0,0,0,0,33
27,0,15,0,13,80,12,51,0,0,0,0,0
28,0,20,0,20,101,138,9,7,1,14,0,0
29,0,32,0,8,130,54,98,2,1,0,0,9
30,0,9,0,5,72,0,2,0,2,0,0,0
31,0,80,35,15,276,9,11,4,2,7,0,11
32,0,25,0,18,44,45,13,5,104,6,0,110
33,0,2,0,0,7,0,0,0,0,0,0,0
34,0,8,0,39,52,4,4,0,0,4,0,0
35,0,4,0,8,4,4,0,1,32,0,0,0
36,0,0,0,0,4,0,0,0,0,0,0,0
37,5,359,94,134,405,158,10,0,1523,0,0,207
38,0,17,0,12,41,32,15,4,38,0,0,0
39,6,14,0,9,34,10,2,0,12,0,0,0
40,0,6,0,3,0,1,6,0,0,2,0,0
41,2,13,0,15,21,3,7,0,0,0,0,0
42,0,244,5,35,248,44,127,3,144,93,0,34
43,0,4,0,3,115,267,0,0,74,0,233,1493
44,0,4,0,0,0,0,0,2,0,0,0,0
45,0,6,0,2,28,0,1,0,0,0,0,0
46,3,3,0,0,23,2,0,0,30,6,0,0
47,0,4,0,10,2,0,0,0,2,0,0,0
48,5,1,0,0,0,0,0,0,0,0,0,0
49,0,240,0,80,30,0,0,0,0,0,0,0
50,3,28,0,19,161,17,20,20,0,0,0,0
51,0,40,6,46,192,62,53,4,18,17,0,0
52,0,13,0,31,46,225,2,6,2,0,0,0
54,0,72,0,111,121,75,90,15,10,27,0,9
55,0,16,17,22,17,7,17,12,0,0,0,0
56,0,49,21,11,207,6,251,0,0,4,0,0
57,0,15,0,98,17,112,17,0,0,4,0,0
58,0,7,0,2,60,0,7,0,4,0,0,0
59,0,30,0,18,59,1,33,0,0,45,0,0
60,0,8,0,13,26,0,9,0,0,0,0,10
61,0,3,5,21,14,2,4,0,33,0,0,0
62,0,3,0,17,15,1,20,8,0,0,0,0
63,0,13,0,20,29,25,21,7,17,0,0,0
64,0,4,0,11,4,0,2,0,1,0,0,0
65,0,6,0,9,0,9,0,0,0,0,0,0
66,0,3569,0,5,2,139,0,2,0,0,0,453
67,0,9,0,47,26,8,9,0,2,1,0,0
68,0,73,0,209,26,17,181,7,1,5,0,0
69,0,150,0,137,580,163,432,14,37,36,5,0
72,0,5,0,0,0,0,8,0,0,0,0,0
74,10,7,4,7,12,1,6,23,0,0,0,0
75,4,18,0,50,41,0,48,3,0,12,0,0
76,0,26,2,24,9,0,4,2,43,0,0,0
77,4,32,0,7,3,8,36,0,8,13,0,0
78,0,25,21,2,109,51,94,0,8,3,0,0
79,0,102,0,19,110,125,185,0,0,6,0,0
80,0,20,0,0,69,2,0,0,24,0,0,0
81,0,11,0,6,10,0,0,0,0,0,0,0
82,10,3,0,82,138,0,8,0,9,0,0,0
