Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,1.08,
auto,auto_skim.Time,,-0.025,
auto,Constant,business,0.448,
bus,Constant,,-0.00414,
bus,bus_skim.IVTT,,-0.025,
bus,bus_skim.AccessWalkTime,,-0.0431,
bus,bus_skim.InitWaitTime,,-0.0431,
bus,bus_skim.EgressWalkTime,,-0.0431,
tnc,auto_skim.Time,,-0.025,
tnc,Constant,business,0.448,
walk,Constant,,3.41,
walk,walk_skim.Time,,-0.108,
walk,walk_skim.IZ,,0.289,
walk,"se.AreaType.O = ""Downtown"" & se.AreaType.D = ""Downtown""",,1.96,
bike,Constant,,-2.64,
bike,bike_skim.Time,,-0.108,
bike,"se.AreaType.O = ""Downtown"" & se.AreaType.D = ""Downtown""",,1.96,
