trip_purp,tod,trips,factor
HBEat,AM,6486.03,0.06407592735052403
HBEat,OP,68301.87,0.6747587754026634
HBEat,PM,26436.23,0.2611652972468126
HBO,AM,2867.35,0.1912404299749957
HBO,OP,8861.4,0.5910188662634234
HBO,PM,3264.68,0.2177407037615809
HBRec,AM,14968.85,0.15555036899028832
HBRec,OP,55785.74,0.579703346709753
HBRec,PM,25476.94,0.26474628429995867
HBShop,AM,1483.87,0.030118955941687512
HBShop,OP,33854.15,0.6871569964304692
HBShop,PM,13928.96,0.2827240476278432
HBW,AM,3333.42,0.32108057500183007
HBW,OP,4082.29,0.39321298261971815
HBW,PM,2966.17,0.28570644237845166
NHB,AM,4142.01,0.02394482182916145
NHB,OP,116719.35,0.6747506741329778
NHB,PM,52120.090000000004,0.3013045040378607
